;link
23;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-blanche-gstellihore-862/mountain-hiking/en-boucle-par-le-passage-a-bonvin-et-les-lapies-di-bou-40824/
24;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/from-curaglia-via-val-plattas-207/
25;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/von-curaglia-ueber-den-piz-ault-40831/
26;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/von-tenigerbad-durch-die-val-lavaz-208/
27;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/ski-touring/from-curaglia-3174/
28;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-caschleglia-307/mountain-hiking/von-der-medelserhuette-ueber-den-suedgrat-40829/
29;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/niederhorn-1293/mountain-hiking/baerenpfad-40823/
30;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/berggasthaus-bruesti-2140485050/mountain-hiking/von-der-bergstation-bruesti-40828/
31;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/les-cornettes-de-bise-187/mountain-hiking/de-miex-par-le-vallon-de-verne-6667/
32;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/les-cornettes-de-bise-187/mountain-hiking/par-le-couloir-de-seraukin-40817/
33;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schraeawislihuette-2147000242/mountain-hiking/von-st-martin-oder-gigerwald-40815/
34;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/col-du-tsate-4393/mountain-hiking/du-val-de-moiry-versant-e-40768/
35;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/weisshornhuette-sac-2147000290/mountain-hiking/from-randa-via-alp-jatz-or-the-schatzplatte-255/
36;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/weisshornhuette-sac-2147000290/mountain-hiking/abenteuerzustieg-von-taesch-alaska-trail-40799/
37;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/casa-alpina-belvedere-2147482434/mountain-hiking/von-der-alp-gruem-40790/
38;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/alpines-museum-der-schweiz-12255/mountain-hiking/vom-bahnhof-bern-40761/
39;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/mettelhorn-1155/mountain-hiking/von-zermatt-ueber-trift-40716/
40;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-linleu-1052/mountain-hiking/par-le-versant-s-via-le-col-de-recon-40691/
41;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schiltfurgga-3640/mountain-hiking/von-westen-2206/
42;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schiltfurgga-3640/mountain-hiking/von-osten-aus-dem-gredetschtal-40679/
43;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leglerhuette-sac-2147000149/mountain-hiking/from-mettmen-or-kies-schwanden-413/
44;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leglerhuette-sac-2147000149/mountain-hiking/von-elm-aempaechli-779/
45;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leglerhuette-sac-2147000149/ski-touring/from-the-garichti-reservoir-2948/
46;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leglerhuette-sac-2147000149/ski-touring/ab-der-bergstation-der-sesselbahn-pleus-skigebiet-elm-2949/
47;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/mountain-hiking/from-lenk-via-faeriche-and-iffigenalp-463/
48;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/mountain-hiking/von-montana-ueber-die-wisshoreluecke-464/
49;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/mountain-hiking/von-der-wildhornhuette-ueber-schnidejoch-und-rawilpass-40678/
50;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/mountain-hiking/vom-lac-de-tseuzier-ueber-mondraleche-und-weisshornsee-467/
51;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/mountain-hiking/von-crans-sur-sierre-ancien-bisse-du-ro-466/
52;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildstrubelhuette-sac-2147000294/ski-touring/from-montana-via-glacier-de-la-plaine-morte-3184/
53;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-des-bimis-182/mountain-hiking/von-dorena-via-rochers-des-tours-abstieg-durch-den-tunnel-des-bimis-40661/
54;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-grammont-821/mountain-hiking/par-larete-se-40657/
55;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-grammont-821/mountain-hiking/von-le-flon-via-taney-la-derotchia-und-croix-de-la-le-6699/
56;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-schigels-1701/mountain-hiking/ueberschreitung-suedflanke-nordgrat-lag-serein-6843/
57;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-campo-tencia-291/mountain-hiking/from-capanna-campo-tencia-cas-via-pizzo-campo-tencia-to-prato-1019/
58;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-campo-tencia-291/mountain-hiking/traversata-pizzo-penca-pizzo-campo-tencia-dalla-capanna-sponda-6744/
59;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-campo-tencia-291/mountain-hiking/cresta-dei-corni-6178/
60;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/ampervreilhorn-56/mountain-hiking/ueberschreitung-suedgrat-nordruecken-von-zervreila-nach-vals-40653/
61;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/grand-clocher-des-planereuses-1408/mountain-hiking/von-der-cabane-de-saleinaz-durch-die-suedflanke-6264/
62;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/grande-pointe-des-planereuses-1409/mountain-hiking/ueber-nordwestrippe-und-westgrat-6263/
63;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/guraletschhorn-880/mountain-hiking/von-zervreila-ueber-den-nordhang-und-die-ostflanke-6738/
64;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-de-balavaux-2147436930/mountain-hiking/de-haute-nendaz-40526/
65;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-dessertze-2147465776/mountain-hiking/de-thyon-2000-40527/
66;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-luisin-1081/mountain-hiking/par-larete-se-des-fleuriers-40644/
67;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/la-golette-3021/mountain-hiking/de-la-creusaz-les-marecottes-40643/
68;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-gren-schwarzhorn-1745/mountain-hiking/durch-die-val-gronda-und-ueber-den-ostgrat-6808/
69;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-gren-schwarzhorn-1745/mountain-hiking/ueberschreitung-piz-nadels-piz-zavragia-piz-gren-40642/
70;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schijenflue-1705/mountain-hiking/umrundung-ab-partnun-ueber-tilisunafuerggli-und-plasseggenpass-40518/
71;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rosso-di-ribia-11755/mountain-hiking/versante-se-e-cresta-ne-7308/
72;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/madom-groess-1091/mountain-hiking/versante-sud-e-cresta-se-7157/
73;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/madom-groess-1091/mountain-hiking/versante-sse-del-pizzo-cramosina-e-cresta-ese-del-madom-groess-7751/
74;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/alte-gemmi-3572/mountain-hiking/von-leukerbad-ueber-die-clabinualp-und-die-suedflanke-40645/
75;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/mountain-hiking/dovronnaz-jorasse-via-saille-1881/
76;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/mountain-hiking/von-der-gite-de-la-chaux-de-dorbon-6549/
77;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/mountain-hiking/de-pont-de-nant-5366/
78;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/mountain-hiking/de-pont-de-nant-par-le-couloir-du-pacheu-40639/
79;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/ski-touring/von-ovronnaz-via-chamosentse-3203/
80;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rambert-cas-2147000215/ski-touring/von-ovronnaz-via-saille-3204/
81;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-de-susanfe-cas-2147000261/mountain-hiking/from-champery-1878/
82;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-de-susanfe-cas-2147000261/mountain-hiking/from-salvan-or-van-den-haut-4300/
83;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cresta-dei-lenzuoli-fumadiga-6294/mountain-hiking/cresta-dei-lenzuoli-7309/
84;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/basal-11843/mountain-hiking/dalla-val-marcri-7752/
85;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dreizehntenhorn-driizaenduhoru-524/mountain-hiking/ueber-augstbordhorn-und-augstbordgrat-6270/
86;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dreizehntenhorn-driizaenduhoru-524/mountain-hiking/ueberschreitung-dreizehntenhorn-ginalshorn-signalhorn-ab-brandalp-5240/
87;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-ribia-2147000217/mountain-hiking/aus-dem-valle-di-vergeletto-4339/
88;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-ribia-2147000217/mountain-hiking/von-cimalmotto-ueber-den-rosso-di-ribia-vavm-13-5458/
89;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/mountain-hiking/from-someo-2121/
90;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/mountain-hiking/from-vergeletto-2122/
91;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/mountain-hiking/von-cevio-4522/
92;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/mountain-hiking/von-der-capanna-ribia-ueber-die-bocchetta-di-doia-5450/
93;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/mountain-hiking/von-der-capanna-ribia-ueber-die-cima-di-catoegn-vavm-14-5485/
94;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alzasca-cas-2147000011/ski-touring/von-vergeletto-3318/
95;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/furggahorn-705/mountain-hiking/von-arosa-ueber-den-suedhang-40635/
96;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gasterespitz-7762/mountain-hiking/ueberschreitung-von-der-balmhornhuette-mit-abstieg-zur-gfelalp-469/
97;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/silberhornhuette-sac-2147000249/mountain-hiking/from-stechelberg-289/
98;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/silberhornhuette-sac-2147000249/mountain-hiking/von-stechelberg-ueber-den-chatzenpfad-6805/
99;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/scalettahorn-1665/mountain-hiking/vom-duerrboden-5455/
100;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-alpe-costa-2147458765/mountain-hiking/da-frasco-7168/
101;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gspaltenhornhuette-sac-2147000127/mountain-hiking/from-griesalp-via-steineberg-475/
102;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gspaltenhornhuette-sac-2147000127/mountain-hiking/vom-schilthorn-ueber-die-sefinafurgga-477/
103;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gspaltenhornhuette-sac-2147000127/mountain-hiking/von-muerren-via-rotstockhuette-und-ueber-die-sefinafurgga-40630/
104;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gspaltenhornhuette-sac-2147000127/mountain-hiking/von-der-griesalp-ueber-die-bundalp-476/
105;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/mountain-hiking/from-the-top-station-of-the-kandersteg-oeschinen-cableway-470/
106;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/mountain-hiking/von-der-griesalp-471/
107;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/mountain-hiking/von-der-gspaltenhornhuette-1452/
108;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/mountain-hiking/von-der-fruendenhuette-sac-40608/
109;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/ski-touring/vom-tschingel-im-kiental-ueber-den-hohtuerlihang-3167/
110;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/blueemlisalphuette-sac-2147000036/ski-touring/vom-bahnhof-kandersteg-bzw-gondelbahn-oeschinen-3169/
111;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/fridolinshuetten-sac-2147000101/mountain-hiking/from-linthal-via-hintersand-378/
112;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/fridolinshuetten-sac-2147000101/mountain-hiking/von-der-claridenhuette-sac-40627/
113;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/fridolinshuetten-sac-2147000101/ski-touring/from-hinterem-tierfed-linthal-3026/
114;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/basodino-147/mountain-hiking/traversata-tamierhorn-basodino-6941/
115;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dammahuette-sac-2147000071/mountain-hiking/from-goescheneralp-south-around-the-reservoir-274/
116;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dammahuette-sac-2147000071/mountain-hiking/von-der-goescheneralp-noerdlich-um-den-stausee-273/
117;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dammahuette-sac-2147000071/mountain-hiking/von-der-chelenalphuette-sac-40611/
118;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dammahuette-sac-2147000071/via-ferrata/via-ferrata-jubilaeus-3882/
119;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/silvrettahuette-sac-2147000250/mountain-hiking/from-monbiel-or-klosters-via-alp-sardasca-242/
120;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/silvrettahuette-sac-2147000250/mountain-hiking/von-der-seetalhuette-sac-ueber-den-klosterpass-40614/
121;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/silvrettahuette-sac-2147000250/ski-touring/from-monbiel-via-galtuertaelli-3078/
122;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/seetalhuette-sac-2147000246/mountain-hiking/from-monbiel-or-klosters-via-alp-sardasca-218/
123;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/seetalhuette-sac-2147000246/mountain-hiking/von-klosters-dorf-ueber-die-schijenfurgga-1222/
124;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/seetalhuette-sac-2147000246/mountain-hiking/von-der-fergenhuette-sac-40613/
125;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-al-legn-2147000150/mountain-hiking/from-cortaccio-2149/
126;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-al-legn-2147000150/mountain-hiking/vom-mergugno-40589/
127;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/fridlispitz-3387/mountain-hiking/vom-schwaendital-ueber-riseten-und-fridlispitz-nach-naefels-6756/
128;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-des-martinets-1129/mountain-hiking/pointe-des-martinets-par-le-vallon-de-nant-40612/
129;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-de-la-tsevalire-8299/mountain-hiking/par-le-versant-w-en-passant-par-eison-40126/
130;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/voralphuette-sac-2147000289/mountain-hiking/from-voralpkurve-282/
131;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/voralphuette-sac-2147000289/mountain-hiking/from-bergseehuette-to-voralphuette-899/
132;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/voralphuette-sac-2147000289/mountain-hiking/von-der-salbithuette-sac-40610/
133;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/voralphuette-sac-2147000289/mountain-hiking/from-sustenpass-1293/
134;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/voralphuette-sac-2147000289/ski-touring/from-goeschenen-3053/
135;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/la-scima-da-negroeuesg-cima-di-negroes-1284/mountain-hiking/von-der-capanna-alva-abstieg-via-val-diragna-nach-iragna-32589/
136;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schwarzhorn-schwarzhoru-augstbord-1738/mountain-hiking/ueberschreitung-rots-taellilicke-suedgrat-von-schalb-6269/
137;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chamonna-lischana-cas-2147000156/mountain-hiking/from-scuol-through-val-lischana-143/
138;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chamonna-lischana-cas-2147000156/mountain-hiking/von-s-charl-ueber-fora-da-laua-147/
139;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chamonna-lischana-cas-2147000156/ski-touring/from-scuol-3309/
140;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/almagellerhorn-27/mountain-hiking/von-heitbodme-ueber-den-suedwestgrat-6268/
141;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cima-di-camadra-276/mountain-hiking/von-pian-geirett-abstieg-durch-das-val-cristallina-nach-pardatsch-6822/
142;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-alva-2147000009/mountain-hiking/von-lodrino-40604/
143;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-corandoni-9333/mountain-hiking/von-der-capanna-cadlimo-ueber-den-pizzo-taneda-zur-capanna-cadagno-6830/
144;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schilt-gl-1710/mountain-hiking/vom-naturfreundehaus-fronalp-mit-abstieg-nach-aeugsten-6761/
145;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wildgaerst-2214/mountain-hiking/ueber-grossi-chrinne-und-wart-6258/
146;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-piatt-fontana-2147459249/mountain-hiking/da-prato-7209/
147;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/magerrain-1097/mountain-hiking/ab-maschgenkamm-via-erdisgulmen-abstieg-zum-berggasthaus-murgsee-6753/
148;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/magerrain-1097/mountain-hiking/von-der-spitzmeilenhuette-via-tuerli-abstieg-zur-skihuette-muelibachtal-6752/
149;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/scopi-1757/mountain-hiking/von-der-capanna-bovarina-mit-abstieg-zum-lukmanierpass-6823/
150;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/spinaguet-9413/mountain-hiking/von-heiligkreuz-via-balmenwand-abstieg-via-hinterspina-5607/
151;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/golderehore-4136/mountain-hiking/aus-dem-kiental-6256/
152;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/arpelistock-91/mountain-hiking/ueberschreitung-geltenhuette-sac-sanetschsee-6259/
153;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/spitzbueel-9410/mountain-hiking/von-heiligkreuz-via-hochegg-zur-palfries-bergstation-5606/
154;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-darpitetta-69/mountain-hiking/ueberschreitung-ostgrat-nordwestgrat-6265/
155;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/col-des-avouillons-3299/mountain-hiking/de-lourtier-par-la-cabane-brunet-32575/
156;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cima-buzzi-9771/mountain-hiking/ueberschreitung-west-ost-mit-vetta-salarsa-6711/
157;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/alp-de-fora-2147000099/mountain-hiking/von-santa-maria-val-calanca-via-pian-di-renten-5547/
158;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/alp-de-fora-2147000099/mountain-hiking/von-der-capanna-buffalora-5548/
159;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chueealphorn-405/mountain-hiking/von-duerrboden-mit-abstieg-via-augstehuereli-5372/
160;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/becs-de-bosson-214/mountain-hiking/ueber-den-roc-de-la-tsa-und-den-ostgrat-6267/
161;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/mont-gele-verbier-1201/mountain-hiking/de-verbier-par-la-cabane-mont-fort-32590/
162;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-de-la-terrasse-8468/mountain-hiking/en-boucle-depuis-le-barrage-demosson-32677/
163;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/aiguille-des-angroniettes-62/mountain-hiking/en-circuit-de-ferret-par-le-bandarray-et-le-grand-col-ferret-32689/
164;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-ronde-south-summit-1431/mountain-hiking/du-col-de-la-forclaz-par-lalpage-de-bovine-40136/
165;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/lepaule-12204/mountain-hiking/de-gueule-barrage-demosson-par-le-versant-s-40135/
166;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/grand-tave-1941/mountain-hiking/en-traversee-de-mauvoisin-a-fionnay-31316/
167;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/grand-tave-1941/mountain-hiking/von-der-cabane-fxb-panossiere-n-grat-4317/
168;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/ski-ferienhaus-obergestelen-2147448786/mountain-hiking/aus-dem-meniggrund-40592/
169;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-de-nendaz-10827/mountain-hiking/de-iserables-par-le-versant-nw-7174/
170;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/petite-dent-de-morcles-1213/mountain-hiking/descente-par-le-versant-sw-et-le-couloir-du-nant-rouge-40498/
171;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/horn-9405/mountain-hiking/von-isenthal-nach-chliwaeldli-5602/
172;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wistaetthore-wistaetthorn-6146/mountain-hiking/ueberschreitung-vom-rinderberg-zum-betelberg-6257/
173;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/firstspitz-9415/mountain-hiking/von-muotathal-ueber-den-firstspitz-nach-illgau-5614/
174;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-fou-10762/mountain-hiking/de-la-tzoumaz-par-la-crete-nw-7176/
175;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chambairy-9037/mountain-hiking/traversee-de-le-flon-a-taney-par-la-combe-des-greppes-descente-par-le-versant-nw-6924/
