;id;distance;up;down;min;max
145;1659;4.26 km;697 m;45 m;684 m;1'341 m
146;1660;4.23 km;327 m;14 m;666 m;983 m
147;1661;4.80 km;473 m;56 m;787 m;1'205 m
148;1662;5.89 km;761 m;40 m;1'969 m;2'690 m
149;1686;2.54 km;598 m;12 m;1'314 m;1'900 m
150;1687;9.91 km;1'138 m;511 m;1'278 m;2'280 m
151;1708;5.65 km;241 m;51 m;1'793 m;1'983 m
152;1711;8.08 km;352 m;285 m;1'911 m;2'220 m
153;1713;5.34 km;682 m;18 m;1'204 m;1'868 m
154;1715;8.37 km;548 m;597 m;1'868 m;2'434 m
155;1720;8.51 km;1'069 m;83 m;1'217 m;2'245 m
156;1722;2.80 km;346 m;83 m;1'083 m;1'400 m
157;1723;3.77 km;552 m;35 m;830 m;1'357 m
158;1731;3.37 km;566 m;46 m;1'952 m;2'508 m
159;1757;7.56 km;1'249 m;35 m;781 m;1'999 m
160;1761;4.75 km;856 m;85 m;1'217 m;2'066 m
161;1762;8.78 km;2'036 m;262 m;289 m;2'259 m
162;1763;4.97 km;812 m;25 m;837 m;1'637 m
163;1764;4.88 km;1'048 m;29 m;718 m;1'739 m
164;1765;8.61 km;1'216 m;51 m;721 m;1'905 m
165;1767;2.73 km;645 m;4 m;775 m;1'420 m
166;1771;6.09 km;978 m;63 m;773 m;1'712 m
167;1772;2.77 km;782 m;28 m;889 m;1'643 m
168;1773;7.76 km;1'437 m;132 m;892 m;2'197 m
169;1774;3.56 km;400 m;69 m;993 m;1'348 m
170;1777;4.64 km;641 m;28 m;1'059 m;1'671 m
171;1778;4.41 km;731 m;5 m;880 m;1'606 m
172;1779;1.67 km;165 m;54 m;1'566 m;1'722 m
173;1780;4.35 km;531 m;11 m;883 m;1'404 m
174;1781;9.37 km;1'434 m;78 m;816 m;2'173 m
175;1786;3.23 km;510 m;8 m;973 m;1'480 m
176;1787;5.38 km;773 m;176 m;873 m;1'614 m
177;1789;2.71 km;464 m;25 m;745 m;1'193 m
178;1826;1.24 km;201 m;105 m;2'065 m;2'264 m
179;1858;5.62 km;804 m;1 m;1'300 m;2'104 m
180;1864;2.81 km;578 m;0 m;876 m;1'454 m
181;1874;2.58 km;317 m;2 m;1'288 m;1'605 m
182;1878;1.72 km;57 m;35 m;1'013 m;1'056 m
183;1880;3.42 km;948 m;8 m;1'545 m;2'485 m
184;1881;6.17 km;1'245 m;2 m;1'340 m;2'584 m
185;1882;4.17 km;375 m;28 m;1'271 m;1'632 m
186;1889;6.53 km;1'222 m;8 m;796 m;2'011 m
187;1891;3.92 km;754 m;29 m;1'605 m;2'330 m
188;19;5.76 km;321 m;154 m;1'782 m;1'980 m
189;192;5.33 km;983 m;4 m;1'405 m;2'386 m
190;193;10.29 km;1'440 m;38 m;973 m;2'386 m
191;194;4.54 km;474 m;1 m;503 m;977 m
192;195;5.51 km;831 m;5 m;1'315 m;2'143 m
193;1971;2.49 km;524 m;1 m;1'163 m;1'687 m
194;1982;5.46 km;889 m;192 m;1'053 m;1'884 m
195;1983;1.04 km;159 m;104 m;1'900 m;1'967 m
196;1986;1.26 km;520 m;37 m;1'482 m;2'001 m
197;199;4.40 km;812 m;13 m;1'819 m;2'623 m
198;204;10.30 km;472 m;224 m;1'841 m;2'089 m
199;207;8.09 km;1'202 m;11 m;1'331 m;2'523 m
200;2070;6.61 km;520 m;126 m;1'637 m;2'056 m
201;208;12.11 km;1'493 m;274 m;1'305 m;2'524 m
202;209;8.28 km;708 m;153 m;1'617 m;2'293 m
203;212;4.29 km;370 m;1 m;1'618 m;1'987 m
204;2121;8.57 km;1'452 m;88 m;358 m;1'733 m
205;2122;8.73 km;1'242 m;407 m;897 m;2'056 m
206;2123;0.64 km;5 m;40 m;1'853 m;1'891 m
207;2124;5.59 km;933 m;17 m;939 m;1'856 m
208;2129;10.35 km;862 m;170 m;1'410 m;2'103 m
209;2130;7.38 km;1'279 m;18 m;1'314 m;2'576 m
210;2133;6.09 km;749 m;63 m;1'890 m;2'577 m
211;2138;8.17 km;1'175 m;53 m;906 m;2'032 m
212;2139;4.51 km;48 m;688 m;2'029 m;2'677 m
213;214;7.54 km;421 m;8 m;944 m;1'358 m
214;2140;4.39 km;29 m;958 m;2'031 m;2'966 m
215;2141;5.30 km;533 m;264 m;2'254 m;2'577 m
216;2142;6.74 km;968 m;21 m;1'192 m;2'139 m
217;2144;7.04 km;787 m;498 m;1'839 m;2'478 m
218;2146;0.33 km;12 m;6 m;1'766 m;1'777 m
219;2147;3.48 km;710 m;17 m;1'086 m;1'780 m
220;2149;2.47 km;740 m;4 m;1'050 m;1'786 m
221;215;4.11 km;557 m;3 m;662 m;1'217 m
222;216;3.28 km;325 m;322 m;1'335 m;1'482 m
223;2160;6.29 km;1'028 m;113 m;774 m;1'712 m
224;218;7.37 km;406 m;70 m;1'313 m;1'649 m
225;2197;1.60 km;490 m;0 m;1'916 m;2'406 m
226;2198;6.06 km;1'166 m;47 m;1'041 m;2'197 m
227;2199;7.35 km;1'414 m;52 m;1'043 m;2'440 m
228;2201;4.74 km;875 m;1 m;1'185 m;2'060 m
229;2206;6.04 km;911 m;66 m;1'409 m;2'255 m
230;2207;4.89 km;667 m;196 m;2'010 m;2'579 m
231;2208;3.89 km;587 m;95 m;2'010 m;2'587 m
232;2209;4.77 km;939 m;8 m;2'087 m;3'018 m
233;221;7.39 km;858 m;87 m;1'460 m;2'232 m
234;2226;0.58 km;68 m;0 m;2'097 m;2'164 m
235;2242;3.62 km;777 m;34 m;1'386 m;2'132 m
236;2243;1.33 km;164 m;8 m;1'840 m;1'997 m
237;2244;5.05 km;975 m;59 m;993 m;1'938 m
238;2291;8.37 km;792 m;56 m;1'605 m;2'341 m
239;2292;6.85 km;800 m;26 m;1'459 m;2'234 m
240;2299;5.94 km;933 m;25 m;1'093 m;2'001 m
241;2311;7.94 km;959 m;47 m;1'907 m;2'819 m
242;2312;7.86 km;738 m;216 m;2'342 m;2'864 m
243;2313;4.38 km;236 m;436 m;1'468 m;1'815 m
244;2317;2.70 km;509 m;20 m;1'997 m;2'486 m
245;2319;0.18 km;0 m;40 m;2'485 m;2'524 m
