tour_id;start;end
4930;"46.42330844852975;8.997286246351303";"46.449878118504756;9.040675754002221"
2142;"46.4742765231279;8.775038532336044";"46.44411452326121;8.732548532296832"
2144;"46.48234852340255;8.725191532675959";"46.44411452326121;8.732548532296832"
1150;"46.47431465674014;8.775071052435823";"46.444286012850334;8.732733406149945"
2146;"46.221751523492344;8.566216531214588";"46.220909702561784;8.562426058479792"
2147;"46.203666523392265;8.576153531002822";"46.22101552351112;8.562101531229782"
1761;"46.37594152145318;9.05305052996068";"46.35750952151798;9.03040252992228"
1762;"46.353587521795575;8.973456530197318";"46.35746752151791;9.030409529921878"
900;"46.262656521094215;9.063470528911918";"46.29745268092985;9.070882000598168"
4479;"46.38149413925734;9.02930229279668";"46.3574962383144;9.030281314931873"
568;"46.472786713259154;8.425688828335247";"46.46700952495798;8.410137534216249"
3200;"46.48674178118596;8.47507298617726";"46.46700828175712;8.410078446461187"
901;"46.423316660007664;8.99685638591024";"46.4356745218802;9.000755530771603"
384;"46.74272911230735;8.990626779318166";"46.76398620968263;8.973329155159375"
2358;na;na
3304;"46.734379309606986;8.938676815965243";"46.776918073327785;8.939137794723884"
406;"47.023833523754384;8.939988536364377";"46.995411127995695;8.940845870832216"
3311;"47.02108279528224;8.926772395580764";"47.001614870793944;8.963612087971518"
1588;"46.89912752244345;9.132040534168857";"46.899665522542755;9.112906534280604"
1757;"46.423324522638175;8.84436253151072";"46.417476522918626;8.785872531774185"
4478;"46.42329752233082;8.844368531453137";"46.41353191023152;8.81890572214754"
1713;"46.55563652251634;8.938798532170368";"46.5598865227829;8.888571532481793"
1715;"46.56326252323652;8.801081532986705";"46.55987452278242;8.888673532481125"
906;"46.607796434518875;8.940332416392877";"46.60450052267389;8.934427532630531"
1686;"46.24813052108394;9.057712528816369";"46.26264952109414;9.063477528911811"
1687;"46.31859152100636;9.110786529142969";"46.262828521095955;9.063224528914755"
1720;"46.55965352250253;8.943582532177588";"46.607796434518875;8.940332416392877"
5613;"46.57033993685195;8.94179174778478";"46.606152157844264;8.93275893311875"
821;"47.0640635243257;8.849200537233537";"47.059874594576804;8.884238161643516"
1022;"46.48663549132567;8.829368647556754";"46.47575152266053;8.86797453184705"
928;"46.368804525686656;8.213157534369728";"46.350257509790346;8.255797041739713"
935;"46.16221952560277;8.114569533034391";"46.12393184999875;8.11209797320095"
936;"46.22516552685008;7.902206534674277";"46.20732155999102;7.927092533957433"
866;"46.57281052522289;8.415148535138949";"46.55299701199853;8.399815636041078"
930;"46.26175252643873;8.004329534485716";"46.26175252643873;8.004329534485716"
925;"46.36411323704408;8.182444382154738";"46.38336655849862;8.183576926836636"
927;"46.375621525558714;8.241585534281338";"46.38551318664086;8.277880858699486"
931;"46.19559052599438;8.055483533633588";"46.17841859555083;8.050163170860019"
277;"46.70427652598626;8.335685536746901";"46.694625282901875;8.358872408130942"
3255;"46.57755189958808;8.387312161896284";"46.67795894085408;8.37666387855326"
