link,title,difficulty,distance,elevation_up,elevation_down,duration,speed,gpx_file,distance_gpx
https://www.komoot.com/smarttour/5496327,Aussichtspunkt Stöcklichrüz – Aussicht über den Zürichsee loop from Pfäffikon,Expert,16.74,670.56,670.56,316,3.22,2023-05-07_1109943014_GPX Download_ Aussichtspunkt Stöcklichrüz – Aussicht über den Zürichsee Runde von Pfäffikon.gpx,16.68
https://www.komoot.com/smarttour/1828583,St. Meinrad – Summende Bienen loop from Egg,Intermediate,4.83,274.32,281.94,109,2.74,2023-05-07_1109943231_GPX Download_ St. Meinrad – Summende Bienen Runde von Egg.gpx,4.79
https://www.komoot.com/smarttour/731075,Restaurant Meinrad – St. Meinrad loop from Egg,Intermediate,3.23,129.54,129.54,63,3.06,2023-05-07_1110459996_GPX Download_ Restaurant Meinrad – St. Meinrad Runde von Egg.gpx,5.92
https://www.komoot.com/smarttour/1839510,Aussicht auf den Sihlsee – St. Meinrad loop from Schindellegi-Feusisberg,Intermediate,15.71,487.68,487.68,283,3.38,2023-05-07_1109944049_GPX Download_ Aussicht auf den Sihlsee – St. Meinrad Runde von Schindellegi-Feusisberg.gpx,15.67
https://www.komoot.com/smarttour/12263677,Wildspitz – Aussicht auf den Zürichsee loop from Schindellegi,Intermediate,12.41,525.78,525.78,240,3.06,2023-05-07_1109944251_GPX Download_ Wildspitz – Aussicht auf den Zürichsee Runde von Schindellegi.gpx,12.35
https://www.komoot.com/smarttour/8058577,St. Meinrad – Aussicht auf den Sihlsee loop from Egg,Intermediate,5.36,190.5,190.5,100,3.22,2023-05-07_1109944417_GPX Download_ St. Meinrad – Aussicht auf den Sihlsee Runde von Egg.gpx,5.35
https://www.komoot.com/smarttour/5503308,Hiking loop from Feusisberg,Intermediate,7.39,419.1,419.1,161,2.74,2023-05-07_1110475708_GPX Download_ Schöne Brätelstelle – Barfussweg Runde von Rothrist.gpx,8.57
https://www.komoot.com/smarttour/528810,Hiking loop from Pfäffikon,Intermediate,7.32,457.2,457.2,165,2.74,2023-05-08_1111404867_GPX Download_ Das kleine Örtchen Lü – Der kleine See vor Lü Runde von Tschierv.gpx,11.64
https://www.komoot.com/smarttour/1828518,Blick auf Einsiedeln – Egg-Stöcklichrüz  loop from Egg,Easy,5.46,137.16,137.16,94,3.54,2023-05-08_1111552276_GPX Download_ Lägh da Bitabergh – See Cavloc Runde von Maloja.gpx,12.45
https://www.komoot.com/smarttour/1835027,Überdachter Grillplatz – Wildspitz loop from Schindellegi-Feusisberg,Intermediate,8.74,426.72,426.72,177,2.9,2023-05-07_1109949579_GPX Download_ Überdachter Grillplatz – Wildspitz Runde von Schindellegi-Feusisberg.gpx,8.69
https://www.komoot.com/smarttour/1839452,Kapelle Sankt Jost – Raten loop from Biberbrugg,Intermediate,14.69,381.0,381.0,257,3.38,2023-05-07_1109949814_GPX Download_ Kapelle Sankt Jost – Raten Runde von Biberbrugg.gpx,14.67
https://www.komoot.com/smarttour/12243439,Aussicht nach Rapperswil – Holzbrücke Rapperswil – Hurden loop from Hurden,Easy,5.05,7.62,7.62,77,4.02,2023-05-07_1109950347_GPX Download_ Aussicht nach Rapperswil – Holzbrücke Rapperswil – Hurden Runde von Hurden.gpx,5.06
https://www.komoot.com/smarttour/341287,Wasserfall – Vue sur le lac loop from Schwarzsee,Easy,5.54,76.2,76.2,90,3.7,2023-05-07_1109950829_GPX Download_ Wasserfall – Vue sur le lac Runde von Schwarzsee.gpx,5.54
https://www.komoot.com/smarttour/341292,Schwarzsee – Vue sur le lac loop from Schwarzsee,Easy,4.25,45.72,45.72,68,3.7,2023-05-07_1109951228_GPX Download_ Schwarzsee – Vue sur le lac Runde von Schwarzsee.gpx,4.26
https://www.komoot.com/smarttour/4146901,Salzmatt – Kaiseregg loop from Schwarzsee,Expert,14.31,1082.04,1082.04,365,2.41,2023-05-07_1109951443_GPX Download_ Salzmatt – Kaiseregg Runde von Schwarzsee.gpx,14.1
https://www.komoot.com/smarttour/8009349,Kaiseregg – Schwarzsee loop from Schwarzsee,Expert,17.38,1158.24,1158.24,420,2.41,2023-05-07_1110395129_GPX Download_ _Ufschütti_ - Seepark Arbon – Alte Badi Arbon Runde von Egnach.gpx,13.36
https://www.komoot.com/smarttour/4146928,Kaisereggpass – Salzmatt loop from Schwarzsee,Expert,11.28,1028.7,1028.7,313,2.09,2023-05-07_1109957988_GPX Download_ Kaisereggpass – Salzmatt Runde von Schwarzsee.gpx,11.07
https://www.komoot.com/smarttour/12204485,Schwarzsee / Lac-Noir und Sage – Urlandschaft Brecca loop from Schwarzsee,Expert,13.95,662.94,662.94,302,2.74,2023-05-07_1109958181_GPX Download_ Schwarzsee _ Lac-Noir und Sage – Urlandschaft Brecca Runde von Schwarzsee.gpx,13.86
https://www.komoot.com/smarttour/12210447,Galterenschlucht – Gorge du Gottéron loop from Tafers,Intermediate,8.51,121.92,121.92,139,3.7,2023-05-07_1109958342_GPX Download_ Galterenschlucht – Gorge du Gottéron Runde von Tafers.gpx,8.51
https://www.komoot.com/smarttour/8008548,Schwarzsee – Hinteri Weid-Wanderweg loop from Schwarzsee,Intermediate,7.68,388.62,388.62,155,2.9,2023-05-07_1110461240_GPX Download_ Wacklige Brücke – Alpwirtschaft Pragelpasshöhe Runde von Stalden.gpx,7.77
https://www.komoot.com/smarttour/711735,Schwarzsee – Schönste Sicht über Schwarzsee loop from Schwarzsee,Intermediate,10.83,563.88,563.88,224,2.9,2023-05-07_1109958822_GPX Download_ Schwarzsee – Schönste Sicht über Schwarzsee Runde von Schwarzsee.gpx,10.75
https://www.komoot.com/smarttour/1515854,Schönste Sicht über Schwarzsee – Schwarzsee loop from Schwarzsee,Intermediate,12.86,571.5,571.5,255,3.06,2023-05-07_1110232782_GPX Download_ Farm Gutsbetrieb Wildenstein – Alte Eichen Runde von Bubendorf.gpx,8.64
https://www.komoot.com/smarttour/1111590,Gorge du Gottéron – Kathedrale St. Niklaus loop from Tafers,Intermediate,11.6,243.84,243.84,198,3.54,2023-05-07_1109959311_GPX Download_ Gorge du Gottéron – Kathedrale St. Niklaus Runde von Tafers.gpx,11.6
https://www.komoot.com/smarttour/711737,Wasserfall – Urlandschaft Brecca loop from Schwarzsee,Expert,14.87,800.1,800.1,334,2.74,2023-05-08_1111580587_GPX Download_ Rigiblick – Aussichtspunkt beim Resiweiher Runde von Rigiblick.gpx,3.15
https://www.komoot.com/smarttour/12203097,Schwarzsee – Schwarzsee / Lac-Noir und Sage loop from Schwarzsee,Intermediate,12.89,579.12,579.12,252,3.06,2023-05-07_1110043272_GPX Download_ Schönste Sicht über Schwarzsee – Schwarzsee _ Lac-Noir und Sage Runde von Schwarzsee.gpx,14.81
https://www.komoot.com/smarttour/12204512,Urlandschaft Brecca – Schwarzsee loop from Schwarzsee,Expert,14.31,853.44,853.44,339,2.57,2023-05-07_1109959998_GPX Download_ Urlandschaft Brecca – Schwarzsee Runde von Schwarzsee.gpx,14.15
https://www.komoot.com/smarttour/12201366,Salzmatt – Schwarzsee loop from Schwarzsee,Intermediate,9.75,685.8,685.8,223,2.57,2023-05-07_1109963928_GPX Download_ Salzmatt – Schwarzsee Runde von Schwarzsee.gpx,9.64
https://www.komoot.com/smarttour/341294,Schwarzsee / Lac-Noir und Sage – Wasserfall loop from Schwarzsee,Intermediate,12.68,541.02,541.02,248,3.06,2023-05-08_1111577424_GPX Download_ Gletscherstube Märjelen – Tälligrattunnel Runde von Wiler.gpx,10.63
https://www.komoot.com/smarttour/1516125,Vue sur le lac – Schwarzsee loop from Schwarzsee,Expert,19.79,1082.04,1082.04,467,2.57,2023-05-07_1110397563_GPX Download_ Seeblick Uttwil – Seeblick Kesswil Runde von Uttwil.gpx,8.06
https://www.komoot.com/smarttour/1514616,Breccaschlund – Schwarzsee / Lac-Noir und Sage loop from Schwarzsee,Intermediate,7.68,243.84,251.46,141,3.22,2023-05-07_1110468176_GPX Download_ Dominilochsteg über die Reuss – Kloster Hermetschwil Runde von Bremgarten.gpx,6.5
https://www.komoot.com/smarttour/12210469,Galterenschlucht – Roter Turm loop from Tafers,Intermediate,11.01,251.46,251.46,189,3.54,2023-05-07_1110042814_GPX Download_ Galterenschlucht – Roter Turm Runde von Tafers.gpx,11.0
https://www.komoot.com/smarttour/12204598,Schönste Sicht über Schwarzsee – Schwarzsee / Lac-Noir und Sage loop from Schwarzsee,Intermediate,14.9,716.28,716.28,299,3.06,2023-05-09_1112379672_GPX Download_ Rheinufer Stein am Rhein – Rathaus Stein am Rhein Runde von Bahnhof Steiner Liliputbahn.gpx,6.62
https://www.komoot.com/smarttour/1111585,Mont Vully – Grottes des Roches Grises loop from Sugiez,Intermediate,9.33,228.6,228.6,161,3.54,2023-05-07_1109965064_GPX Download_ Mont Vully – Grottes des Roches Grises Runde von Sugiez.gpx,9.32
https://www.komoot.com/smarttour/12212679,Grottes des Roches Grises – Mont Vully loop from Sugiez,Intermediate,12.63,266.7,266.7,216,3.54,2023-05-09_1112567087_GPX Download_ Schauenberg – Schöner Weitblick Runde von Turbenthal.gpx,11.69
https://www.komoot.com/smarttour/4148279,Beau vignoble – Mont Vully loop from Sugiez,Intermediate,7.63,213.36,213.36,136,3.38,2023-05-08_1111353494_GPX Download_ Saalhöhe – Wunderschöner Waldweg Runde von Asp.gpx,17.18
https://www.komoot.com/smarttour/12208692,Canal de la Broye – Beau vignoble loop from Sugiez,Intermediate,8.61,121.92,121.92,142,3.7,2023-05-08_1111359553_GPX Download_ Önsiger Roggen – Schloss Neu-Bechburg Runde von Oensingen.gpx,15.42
https://www.komoot.com/smarttour/5473525,Beau vignoble – Grottes des Roches Grises loop from Sugiez,Intermediate,8.75,83.82,83.82,139,3.86,2023-05-07_1110047945_GPX Download_ Beau vignoble – Grottes des Roches Grises Runde von Sugiez.gpx,8.76
https://www.komoot.com/smarttour/711408,Grottes des Roches Grises – Mont Vully loop from Môtier,Intermediate,10.69,274.32,274.32,187,3.38,2023-05-08_1111437433_GPX Download_ Wiesenbrücke _Am Sohleck_ – Lange Erlen Runde von Riehen.gpx,8.94
https://www.komoot.com/smarttour/711412,Morat – Schloss in Murten loop from Muntelier-Löwenberg,Expert,26.07,114.3,114.3,401,3.86,2023-05-07_1110048303_GPX Download_ Morat – Schloss in Murten Runde von Muntelier-Löwenberg.gpx,26.08
https://www.komoot.com/smarttour/1523474,Grottes des Roches Grises – Mont Vully loop from Praz,Intermediate,15.85,266.7,266.7,263,3.54,2023-05-08_1111532508_GPX Download_ Ostuferweg Lago di Poschiavo – Miralago Runde von Miralago.gpx,7.27
https://www.komoot.com/smarttour/1522095,Auriedsteg – Naturschutzgebiet Auried loop from Kleinbösingen,Easy,6.15,30.48,30.48,95,3.86,2023-05-07_1109970363_GPX Download_ Auriedsteg – Naturschutzgebiet Auried Runde von Kleinbösingen.gpx,6.16
https://www.komoot.com/smarttour/8009716,Sicht auf den Murtensee – Mont Vully loop from Sugiez,Intermediate,5.95,213.36,213.36,110,3.22,2023-05-07_1110483107_GPX Download_ Bahngleisunterführung – Wasserfall in der Schlucht Runde von Guggi.gpx,12.14
https://www.komoot.com/smarttour/4147354,Schloss in Murten – Morat loop from Muntelier-Löwenberg,Easy,5.92,38.1,38.1,92,3.86,2023-05-07_1109970817_GPX Download_ Schloss in Murten – Morat Runde von Muntelier-Löwenberg.gpx,5.92
https://www.komoot.com/smarttour/8013936,Morat – Schloss in Murten loop from Sugiez,Intermediate,11.62,60.96,60.96,180,3.86,2023-05-07_1109971057_GPX Download_ Morat – Schloss in Murten Runde von Sugiez.gpx,11.63
https://www.komoot.com/smarttour/8011490,Lac de Morat – Schloss in Murten loop from Murten/Morat,Intermediate,12.38,60.96,60.96,191,3.86,2023-05-07_1110049288_GPX Download_ Morat – Schloss in Murten Runde von Sugiez.gpx,11.63
https://www.komoot.com/smarttour/4148316,Schloss in Murten – Morat loop from Murten/Morat,Intermediate,14.9,60.96,60.96,229,3.86,2023-05-07_1109971395_GPX Download_ Schloss in Murten – Morat Runde von Murten_Morat.gpx,14.92
https://www.komoot.com/smarttour/12212932,Canal de la Broye – Le canal de la Broye loop from Muntelier-Löwenberg,Intermediate,13.15,45.72,45.72,201,3.86,2023-05-07_1109975672_GPX Download_ Canal de la Broye – Le canal de la Broye Runde von Muntelier-Löwenberg.gpx,13.17
https://www.komoot.com/smarttour/4147370,Morat – Schloss in Murten loop from Murten/Morat,Easy,4.51,45.72,45.72,72,3.7,2023-05-08_1111595744_GPX Download_ Hochmoor Glaubenberg – Jänzigrat Runde von Stalden.gpx,12.36
https://www.komoot.com/smarttour/8011315,Mont Vully – Grottes des Roches Grises loop from Praz,Intermediate,7.87,259.08,259.08,142,3.38,2023-05-07_1110054886_GPX Download_ Mont Vully – Grottes des Roches Grises Runde von Praz.gpx,7.86
https://www.komoot.com/smarttour/1523320,Naturschutzgebiet Auried – Auriedsteg loop from Kleinbösingen,Intermediate,11.57,83.82,83.82,181,3.86,2023-05-07_1110055049_GPX Download_ Naturschutzgebiet Auried – Auriedsteg Runde von Kleinbösingen.gpx,11.57
https://www.komoot.com/smarttour/8009380,Grottes des Roches Grises loop from Lugnorre,Easy,6.23,198.12,198.12,112,3.38,2023-05-07_1110176028_GPX Download_ Wanderrunde von Nennigkofen.gpx,8.31
https://www.komoot.com/smarttour/711406,Morat – Lac de Morat loop from Môtier,Intermediate,12.84,45.72,45.72,197,3.86,2023-05-09_1112385925_GPX Download_ Abc Runde von Salvan.gpx,16.52
https://www.komoot.com/smarttour/1083484,Am Aletschgletscher – Gletscherblick loop from Bettmeralp,Expert,17.86,861.06,853.44,413,2.57,2023-05-07_1110055497_GPX Download_ Am Aletschgletscher – Gletscherblick Runde von Bettmeralp.gpx,17.74
https://www.komoot.com/smarttour/7900360,Aletsch Blick – Bettmersee loop from Bettmeralp,Intermediate,14.42,579.12,579.12,279,3.06,2023-05-07_1110055668_GPX Download_ Aletsch Blick – Bettmersee Runde von Bettmeralp.gpx,14.37
https://www.komoot.com/smarttour/1083476,Aletschwald – Hängebrücke über die Massa loop from Bettmeralp,Expert,15.69,762.0,762.0,353,2.74,2023-05-07_1110055846_GPX Download_ Aletschwald – Hängebrücke über die Massa Runde von Bettmeralp.gpx,15.59
